,practice,bnf_code,bnf_name,items,nic,act_cost,quantity,month,year
190,9604,8687,1263,2,22.94,21.48,1820,5,2016
192,3245,8687,1263,2,24.7,23.11,1960,5,2016
193,5137,8687,1263,5,44.46,41.72,3528,5,2016
194,6197,8687,1263,2,19.4,18.2,1540,5,2016
195,7990,8687,1263,2,8.82,8.19,700,5,2016
196,8390,8687,1263,2,9.53,9.17,756,5,2016
197,7763,8687,1263,8,38.45,36.56,3051,5,2016
198,9276,8687,1263,9,73.48,68.9,5391,5,2016
199,2622,8687,1263,2,14.62,13.76,1160,5,2016
201,2186,8687,1263,4,14.12,13.52,1120,5,2016
204,6423,8687,1263,13,103.53,97.49,8218,5,2016
205,7598,8687,1263,6,31.03,29.57,2464,5,2016
206,6580,8687,1263,5,31.24,29.85,2478,5,2016
207,2855,8687,1263,7,40.11,37.84,3183,5,2016
208,2834,8687,1263,8,42.91,41.28,3404,5,2016
209,464,8687,1263,5,22.85,21.9,1812,5,2016
210,1467,8687,1263,7,54.6,51.57,4334,5,2016
211,20,8687,1263,1,0.87,0.98,42,5,2016
212,2022,8687,1263,4,26.51,25.19,2105,5,2016
214,9888,8687,1263,5,50.29,47.16,3991,5,2016
215,4766,8687,1263,4,51.04,47.73,4050,5,2016
216,267,8687,1263,2,15.88,14.95,1260,5,2016
217,4988,8687,1263,4,10.97,10.6,870,5,2016
218,9648,8687,1263,4,14.72,14.14,1169,5,2016
219,43,8687,1263,2,15.88,14.95,1260,5,2016
220,2577,8687,1263,5,33.57,31.78,2664,5,2016
221,5151,8687,1263,29,291.07,273.15,22873,5,2016
222,3950,8687,1263,9,69.2,65.13,5364,5,2016
223,2873,8687,1263,13,100.13,94.31,7810,5,2016
224,7088,8687,1263,4,35.98,33.81,2856,5,2016
225,6915,8687,1263,7,97.38,91.06,7728,5,2016
226,5579,8687,1263,1,8.11,7.66,644,5,2016
227,561,8687,1263,2,14.12,13.32,1120,5,2016
228,10282,8687,1263,2,7.76,7.41,616,5,2016
229,6330,8687,1263,5,18.53,17.63,1470,5,2016
230,7275,8687,1263,10,108.9,101.84,8643,5,2016
